keyword,intent,chatpdf_pos,humata_pos,volume,kd
pdf,I,12,0,301000,100
flashcard maker,I,51,0,22200,75
ai de,C,48,0,14800,97
chatpdf,N,1,0,12100,68
and ask questions,I,10,0,9900,76
chat detector,C,13,0,9900,10
slaughtered vomit dolls,I,48,0,9900,33
ai dec,C,65,0,8100,95
chat pdf,I,1,0,8100,69
flashcard generator,I,29,0,8100,71
shippuden filler,I,37,0,8100,30
ai det,C,75,0,6600,93
chat checker,C,30,0,6600,93
flash card generator,C,14,0,5400,64
.pdf,I,10,0,4400,100
ai ch,I,57,0,4400,100
pdf summarizer,C,2,0,4400,68
vomit slaughtered dolls,I,66,0,4400,34
ai flashcard maker,C,26,0,3600,56
ai powerpoint presentation,I,30,0,2900,80
ai检测,I,27,0,2900,73
chatting pdf,I,1,0,2900,77
ai che,CI,52,0,2400,91
cghatgpt,I,39,0,2400,76
ai pdf summarizer,C,5,0,1900,66
flashcard generator free,C,17,0,1900,69
pdf ai,I,2,0,1900,73
ai chec,C,85,0,1600,86
chat ai detector,C,17,0,1600,99
chatgbt detector,I,37,0,1600,91
chatty pdf,N,3,0,1600,9
detectar ia,C,11,0,1600,75
ai flashcard generator,C,9,0,1300,66
askyourpdf,N,12,0,1300,49
chat pff,I,1,0,1300,67
generate flashcards,I,14,0,1300,74
humata,I,0,2,1300,38
study guide generator free pdf,I,68,0,1300,30
website pembuat makalah otomatis pdf,I,11,0,1300,18
ai flashcards,I,8,0,1000,61
chattypdf,I,1,0,1000,69
free study guide generator using pdf,I,62,0,1000,25
help pdf,I,19,0,1000,21
humata ai,N,0,1,1000,53
online flashcard generator,C,27,0,1000,72
pdf summarization,C,2,0,1000,65
pdf.net,N,32,0,1000,54
ai pdf reader,I,1,0,880,63
create your flashcards,I,23,0,880,63
humata health,N,0,33,880,31
pdf summarizer ai,C,2,0,880,57
summarize pdf,CI,2,0,880,74
ai pdf,I,1,0,720,62
pdf ai detector,CI,62,0,720,77
pdf ia,N,1,0,720,97
printable flashcard maker,I,22,0,720,38
quizlet flash card maker,N,22,0,720,69
youtube chat,I,7,0,720,30
ai document checker,C,79,0,590,86
chat.pdf,N,1,0,590,82
pdf ai checker,C,23,0,590,88
youtube chatting,I,9,0,590,49
ai checker pdf,C,26,0,480,85
ai chat with pdf,C,1,0,30,69
ai doc reader,I,2,0,30,67
ai document reading,I,20,0,30,58
ai extract data from pdf,I,44,0,30,22
ai for summarizing pdf,C,2,0,30,53
ai notes from pdf,C,5,0,30,39
ai notes generator from pdf,CI,5,0,30,54
ai pdf answers,I,2,0,30,68
ai pdf reader and summarizer,C,2,0,30,59
ai pdf tools,I,3,0,30,65
ai reading pdf,I,2,0,30,58
ai that can summarize pdf,I,2,0,30,58
ai that summarizes pdfs,I,3,0,30,51
ai to create presentation slides,C,32,0,30,72
ai to make presentation slides,I,39,0,30,77
ai to summarize a pdf,I,4,0,30,58
ai to summarize pdfs,I,3,0,30,54
ai tool where you can upload documents and ask questions,I,1,0,30,75
ai.pdf,I,1,0,30,63
analyse pdf file,C,2,0,30,43
best ai to summarize pdf,C,12,0,30,21
document summarizer free,C,8,0,30,63
document summary ai,C,16,0,30,54
free ai chat with file upload,I,1,0,30,52
free ai notes generator from pdf,I,8,0,30,46
free ai notes summarizer,C,21,0,30,57
ia resumé,I,6,0,30,56
jotform ai pdf summarizer,NT,18,0,30,34
large pdf summarizer,I,8,0,30,51
paper to slides,I,28,0,30,38
pdf ai analyzer,C,1,0,30,63
pdf ai chat,I,1,0,30,63
pdf file analyzer,C,31,0,30,28
pdf solver ai,C,1,0,30,66
pdf to ai notes,C,5,0,30,43
resumen com,I,11,0,30,57
resumen gratis,I,3,0,30,58
resumido gratis,I,2,0,30,70
